,Unnamed: 0,review,rating_of_review,product_name,product_brand,product_star_rating,product_price
26,26,"

  I really like the pants. This product looked as advertised. The pants is made of stretchy thin material. More than likely I will never machine wash these pants. I will hand wash, or wipe pants with wet rag to help maintain the pants look and avoid fading and color integrity. These pants are not made for rugged treatment.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
27,27,"

  The quality and color difference between size 38w and 40w is DRASTICALLY different. The smaller size was thicker denim, bolder/darker colored. The larger size is flimsy, feels thin & the coloring is lighter and faded in comparison. UGH!!!

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
28,28,"

  My pants stood out when i went out of town. Its usually hard to find good fitting jeans, not too baggy but not tight either..they where just right. Love the fit and the feel.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
29,29,"

  These are awesome pants but ordered them 4 times. The design is so off centered . I was expecting the next pair for someone to see if they were right and no one is checking serious design flaw.Please someone do quality support I want these

",2.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
30,30,"

  THEY ARE SKINNY JEANS SO I EXPECTED THEM TO RUN A LITTLE SMALL, BUT THEY STILL FITTED.  MY GRANDSONS LOVED THEM! I WISH I HAD A PAIR OR COULD FIT A PAIR THEY ARE HOT!

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
31,31,"

  Had a pair of 34s but they were very tight, almost so much that I couldn't pull the legs up to put socks on. Loved the design so had to reorder as 36 and they fit like I needed them. Always eye catching but make sure you wash as on the directions. Ended up buying two pairs of the 36s and they are both great. The blue,red, yellow faded a bit more than I'd hoped in the first wash but not so much that they look bad. A bit more vintage looking which is fine with t shirts.

",4.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
32,32,"

  very shiny and not what i was expecting looks like someone from the 90s came and bedazzled the jeans not not even the same colors as photo its a very distinguished red instead off that faded look which is why i took off 2 starts its not what i thought i was paying for thinking it would match a shirt i bought haha not even close they are very flamboyant

",3.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
33,33,"

  I bought these for my son in the black and white. The black fit perfect 👌 but the white are to tight and we ordered the same size for both. I will be ordering again just one size larger.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
34,34,"

  Absolutely not what I thought it would be. I hated those pants. Very cheap and not high quality. I rather pay alot more for something that is higher quality. It feel cheap, it looked cheap. I do not recommend them at all. I send them back right away and gotten an refund.

",1.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
35,35,"

  I was wary at first with the sizes because I needed something to fit my son.  He’s 5’6 and getting taller every day. It’s a little loose around the waist but a belt has it fitting fine.  Fits below the ankle which is fine as well as I know he is still growing.  Hopefully these pants last the summer.  Very pleased with the fit!  Would order a different design of the same company again!

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
36,36,"

  They are hip and cool and a point of conversation. I get complimented when I wear all the printed jeans, I have multiple Pairs and plan to reorder more. I've pair that I really wanted is out of stock now but there are plenty more on my list.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
37,37,"

  Very nice indeed.  I will follow the washing instructions.  Turn them inside out to insure decals stay safe.  I hope the material will not shrink too much as my size is 30 in waist length it perfect.  Good job.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
38,38,"

  I wear this at work; everyone comments on the statement, either they like it or they say it's too bold.  I think it's great.  The only thing is that it's loose on the back of my waist & slide down my butt.  I kept it, maybe enough hot washes will shrink it.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
39,39,"

  Pants look just as advertised. My son loved them. Plus, he is happy that nobody else has Jean's that look like that and the other kids in school is feeling them!

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
40,40,"

  My 17-year-old son loves these jeans.  He was wearing so much that I had to order a 2nd pair, same fit, but different design.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
41,41,"

  Great fitting jeans.  Love the style and fit perfect.  I've got tons of compliments on these jeans.  Highly recommended 👌

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
42,42,"

  They were nice upon arrival but after one wash faded and shrank to the point that they are now too small. Sad because my son was born really excited about them.

",3.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
43,43,"

  Nice jeans, my son looked great, but in person the black on the jeans look a little faded. Like a ashy blk. Didn't expect that.

",3.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
